Ward,Province_OR_District
Beitbridge,Beitbridge
Chipise,Beitbridge
Dendele,Beitbridge
Dite Ii,Beitbridge
Machuchuta,Beitbridge
Maramani,Beitbridge
Masera,Beitbridge
Mtetengwe I,Beitbridge
Mtetengwe Ii,Beitbridge
Mtetengwe Iii,Beitbridge
Siyoka I,Beitbridge
Siyoka Ii,Beitbridge
Baradzanwa,Bikita
Bikita,Bikita
Boora,Bikita
Chigumisirwa,Bikita
Chikuku,Bikita
Chikukutu,Bikita
Chiremwaremwa,Bikita
Chirorwe,Bikita
Devure,Bikita
Mungezi,Bikita
Mupamande,Bikita
Murwira,Bikita
Museti,Bikita
Mutikizizi,Bikita
Negovano,Bikita
Nyahunda,Bikita
Nyarushiri,Bikita
Devure Ranch,Bikita
Gangare,Bikita
Magocha,Bikita
Marozva (a),Bikita
Marozva (b),Bikita
Mashoko,Bikita
Matsvange,Bikita
Mazungunye,Bikita
Mukore,Bikita
Chiveso,Bindura
Dindinyongwe,Bindura
Gudza,Bindura
Guwa,Bindura
Mhumhurwi,Bindura
Muchapondwa,Bindura
Muonwe,Bindura
Mupandira,Bindura
Mutowa,Bindura
Nyava,Bindura
Chete National Park,Binga
Chinonge,Binga
Chunga,Binga
Dobola,Binga
Kabuba,Binga
Kariangwe,Binga
Kalungwizi,Binga
Lubimbi,Binga
Lubu,Binga
Lunga,Binga
Siachilaba,Binga
Sianzyundu,Binga
Sikalenge,Binga
Simatelele,Binga
Sinamagonde,Binga
Sinampande-Nagangala,Binga
Sinansengwe,Binga
Tinde,Binga
Manjolo,Binga
Muchesu,Binga
Nabusenga,Binga
National Park,Binga
Nsenga,Binga
Pashu,Binga
Saba-lubanda,Binga
Inyathi,Bubi
Nkosikazi East,Bubi
Nkosikazi North,Bubi
Nkosikazi South,Bubi
Betera,Buhera
Chapwanya,Buhera
Chikuwa,Buhera
Chimombe 'b (Chimombe-chiweshe),Buhera
Chimombe A,Buhera
Chimombe B,Buhera
Chimombe East,Buhera
Chimombe West,Buhera
Chimombe West (Chimutsa W),Buhera
Chimutsa East,Buhera
Chirozva A,Buhera
Chirozva B,Buhera
Chitsunge,Buhera
Chiweshe,Buhera
Garamwera,Buhera
Mabvuregudo,Buhera
Makumbe,Buhera
Makuvise,Buhera
Marume,Buhera
Mawire,Buhera
Mombeyarara A,Buhera
Mombeyarara B,Buhera
Mudinzwa A,Buhera
Mudinzwa B,Buhera
Mudzamiri,Buhera
Munyira,Buhera
Murambinda,Buhera
Murwira,Buhera
Mushumba East,Buhera
Mushumba West,Buhera
Mutiusinazita,Buhera
Nechavava,Buhera
Nerutanga,Buhera
Neshava,Buhera
Bambadzi,Bulilimamangwe
Bango,Bulilimamangwe
Dombodema,Bulilimamangwe
Empandeni,Bulilimamangwe
Figtree,Bulilimamangwe
Gala,Bulilimamangwe
Gwambe,Bulilimamangwe
Hingwe,Bulilimamangwe
Huwana,Bulilimamangwe
Izimnyama,Bulilimamangwe
Mabhuna,Bulilimamangwe
Madlambuzi,Bulilimamangwe
Magcobafuthi,Bulilimamangwe
Makhulela,Bulilimamangwe
Malanswazi,Bulilimamangwe
Mambale,Bulilimamangwe
Maninji,Bulilimamangwe
Marula,Bulilimamangwe
Masendu,Bulilimamangwe
Matjingwe,Bulilimamangwe
Hikwa,Bulilimamangwe
Mphoengs,Bulilimamangwe
Natane,Bulilimamangwe
Ndolwane,Bulilimamangwe
Nyele,Bulilimamangwe
Raditladi,Bulilimamangwe
Sangulube,Bulilimamangwe
Sansukwe,Bulilimamangwe
Somnene,Bulilimamangwe
Tjankwa,Bulilimamangwe
Chivero C (n),Chegutu District
Chivero M,Chegutu District
Chivero M (l),Chegutu District
Chivero O,Chegutu District
Gora,Chegutu District
Mashayamombe (i),Chegutu District
Nherera B,Chegutu District
Nyamweda (q),Chegutu District
Nyamweda P,Chegutu District
Rwizi F,Chegutu District
Ward 22 (murombedzi H),Chegutu District
Mashayamombe K,Chegutu District
Mashayamombe P (j),Chegutu District
Murombedzi (h),Chegutu District
Ngezi C,Chegutu District
Ngezi D,Chegutu District
Nherera A,Chegutu District
Biriri,Chimanimani
Bumha (shinja Rs),Chimanimani
Chabika,Chimanimani
Chakowa,Chimanimani
Changazi,Chimanimani
Chayamiti,Chimanimani
Chikukwa,Chimanimani
Ngorima A,Chimanimani
Ngorima B,Chimanimani
Nyahonde (nagodi Rs),Chimanimani
Nyanyadzi,Chimanimani
Rupise,Chimanimani
Shinja,Chimanimani
Chikwakwa,Chimanimani
Chiramba,Chimanimani
Guune,Chimanimani
Kudzanga,Chimanimani
Manyuseni,Chimanimani
Mhakwe,Chimanimani
Mhandarume,Chimanimani
Ada Chisumbanje,Chipinge
Ada Middle Sabi,Chipinge
Bangwe/maunganidze,Chipinge
Checheche,Chipinge
Chibunji,Chipinge
Chibuwe,Chipinge
Chikore,Chipinge
Chinyaduma,Chipinge
